,main_category,word,value,tag
1969,cat2,👎,1,NOUN
1968,cat1,valise,1,VERB
2065,cat1,compris,1,ADJ
2067,cat1,accueil,1,NOUN
1931,cat1,ouvrir,1,VERB
2165,cat2,roder,1,VERB
2163,cat2,avoriaz,1,NOUN
2162,cat2,contacton,1,NOUN
2161,cat2,financièrement,1,VERB
2160,cat2,lounge,1,ADV
2159,cat2,strictement,1,ADV
2158,cat2,balducci,1,NOUN
2157,cat1,pourquoi,1,ADV
2156,cat2,chauffant,1,VERB
2155,cat1,malheureusement,1,ADV
2154,cat2,sénégal,1,ADJ
2153,cat1,grossir,1,VERB
2152,cat2,monday,1,NOUN
2151,cat2,tonifiant,1,ADJ
2150,cat1,citer,1,VERB
2149,cat2,eurosje,1,NOUN
2148,cat2,remarquer,1,VERB
2147,cat2,geox,1,PROPN
